device,ecommerce,event_name,event_previous_timestamp,event_timestamp,geo,items,traffic_source,user_first_touch_timestamp,user_id
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,1593614063954129,1593614089359899,"{""city"":""Attleboro"",""state"":""MA""}",[],google,1593614037088511,UA000000106525232
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593613901473050,"{""city"":""Rockport"",""state"":""TX""}",[],google,1593613901473050,UA000000106524533
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",add_item,1593595595984555,1593595620017592,"{""city"":""De Kalb"",""state"":""TX""}","[{""coupon"":null,""item_id"":""M_STAN_Q"",""item_name"":""Standard Queen Mattress"",""item_revenue_in_usd"":1045,""price_in_usd"":1045,""quantity"":1}]",instagram,1593595391984879,UA000000106466918
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593611755190083,"{""city"":""Warwick"",""state"":""RI""}",[],google,1593611755190083,UA000000106513930
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,null,1593613449856735,"{""city"":""Coeur d'Alene"",""state"":""ID""}",[],youtube,1593613449856735,UA000000106522140
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",guest,1593617658665328,1593617822519726,"{""city"":""Clovis"",""state"":""CA""}","[{""coupon"":null,""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595,""price_in_usd"":595,""quantity"":1}]",facebook,1593616922295696,UA000000106541016
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",email_coupon,1593617459515520,1593618432116637,"{""city"":""St. Augustine"",""state"":""FL""}",[],google,1593616968692210,UA000000106541282
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593615063697854,"{""city"":""Victorville"",""state"":""CA""}",[],youtube,1593615063697854,UA000000106530656
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",faq,1593616650732534,1593616950510558,"{""city"":""Wichita"",""state"":""KS""}",[],instagram,1593616650732534,UA000000106539566
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",email_coupon,1593618897029648,1593619509779272,"{""city"":""San Francisco"",""state"":""CA""}",[],youtube,1593618897029648,UA000000106552410
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,1593611700892214,1593613201790705,"{""city"":""Columbus"",""state"":""OH""}",[],facebook,1593611700892214,UA000000106513685
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",careers,null,1593614584146185,"{""city"":""St. Matthews"",""state"":""KY""}",[],instagram,1593614584146185,UA000000106528112
Windows,"{""purchase_revenue_in_usd"":1795,""total_item_quantity"":1,""unique_items"":1}",finalize,1593622944339060,1593623248104571,"{""city"":""Corpus Christi"",""state"":""TX""}","[{""coupon"":null,""item_id"":""M_PREM_Q"",""item_name"":""Premium Queen Mattress"",""item_revenue_in_usd"":1795,""price_in_usd"":1795,""quantity"":1}]",facebook,1593616330759799,UA000000106537762
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",guest,1593618239867244,1593619763160248,"{""city"":""Lynn"",""state"":""MA""}","[{""coupon"":null,""item_id"":""M_STAN_Q"",""item_name"":""Standard Queen Mattress"",""item_revenue_in_usd"":1045,""price_in_usd"":1045,""quantity"":1}]",facebook,1593617573293065,UA000000106544798
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",cart,1593732244317720,1593733998028702,"{""city"":""Grand Prairie"",""state"":""TX""}","[{""coupon"":""NEWBED10"",""item_id"":""M_PREM_T"",""item_name"":""Premium Twin Mattress"",""item_revenue_in_usd"":985.5,""price_in_usd"":1095,""quantity"":1}]",email,1593614430327221,UA000000106527304
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593616488581244,"{""city"":""Morristown"",""state"":""TN""}",[],instagram,1593616488581244,UA000000106538658
Chrome OS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",foam,1593617710072924,1593617752305064,"{""city"":""Douglas"",""state"":""AZ""}",[],google,1593617710072924,UA000000106545565
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593616159338276,"{""city"":""Milwaukee"",""state"":""WI""}",[],instagram,1593616159338276,UA000000106536806
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",pillows,1593617072426050,1593617538647335,"{""city"":""Oakley"",""state"":""CA""}",[],facebook,1593616197570027,UA000000106537003
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",cart,1593817187646442,1593817553389549,"{""city"":""Westminster"",""state"":""CO""}","[{""coupon"":""NEWBED10"",""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":535.5,""price_in_usd"":595,""quantity"":1}]",email,1593610188230638,UA000000106506669
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593605925702019,"{""city"":""West Sacramento"",""state"":""CA""}",[],google,1593605925702019,UA000000106490194
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593614903067165,"{""city"":""Coos Bay"",""state"":""OR""}",[],google,1593614903067165,UA000000106529769
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,1593601232849992,1593601262650686,"{""city"":""Lockport"",""state"":""NY""}",[],youtube,1593600392327802,UA000000106475217
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",cc_info,1593624402013835,1593624602547189,"{""city"":""Tucson"",""state"":""AZ""}","[{""coupon"":null,""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595,""price_in_usd"":595,""quantity"":1}]",google,1593618501163797,UA000000106550039
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",faq,1593606345647081,1593606848914936,"{""city"":""Houston"",""state"":""TX""}",[],google,1593606345647081,UA000000106491655
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",reviews,1593601541117116,1593602262002554,"{""city"":""Aurora"",""state"":""CO""}",[],google,1593601541117116,UA000000106477773
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593577461949983,"{""city"":""Knoxville"",""state"":""IA""}",[],instagram,1593577461949983,UA000000106458103
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593606625116587,"{""city"":""Greenville"",""state"":""SC""}",[],google,1593606625116587,UA000000106492628
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,1593608961135558,1593610162266602,"{""city"":""New York"",""state"":""NY""}",[],instagram,1593608961135558,UA000000106501454
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593606130693448,"{""city"":""Kenner"",""state"":""LA""}",[],instagram,1593606130693448,UA000000106490920
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,null,1593616741530386,"{""city"":""Austin"",""state"":""TX""}",[],instagram,1593616741530386,UA000000106540045
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593606147010015,"{""city"":""Combine"",""state"":""TX""}",[],google,1593606147010015,UA000000106490972
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593614833841187,"{""city"":""Long Beach"",""state"":""CA""}",[],google,1593614833841187,UA000000106529402
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593617545710353,"{""city"":""Charlotte"",""state"":""NC""}",[],google,1593617545710353,UA000000106544672
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",email_coupon,1593611939771757,1593611968770622,"{""city"":""Los Angeles"",""state"":""CA""}",[],youtube,1593611939771757,UA000000106514802
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",cart,1593618099398058,1593618423460068,"{""city"":""Norman"",""state"":""OK""}","[{""coupon"":null,""item_id"":""M_PREM_Q"",""item_name"":""Premium Queen Mattress"",""item_revenue_in_usd"":1795,""price_in_usd"":1795,""quantity"":1}]",direct,1593617884855078,UA000000106546519
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",cart,1593619691722184,1593621069581377,"{""city"":""Dallas"",""state"":""TX""}","[{""coupon"":null,""item_id"":""M_STAN_F"",""item_name"":""Standard Full Mattress"",""item_revenue_in_usd"":945,""price_in_usd"":945,""quantity"":1},{""coupon"":null,""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595,""price_in_usd"":595,""quantity"":1}]",direct,1593618651819827,UA000000106550923
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",reviews,1593601276022194,1593601308453027,"{""city"":""Oklahoma City"",""state"":""OK""}",[],facebook,1593601276022194,UA000000106477129
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593604330218192,"{""city"":""East St. Louis"",""state"":""IL""}",[],google,1593604330218192,UA000000106485219
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",pillows,null,1593598782030718,"{""city"":""Odessa"",""state"":""TX""}",[],google,1593598782030718,UA000000106472095
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",pillows,null,1593611514550947,"{""city"":""Crestview"",""state"":""FL""}",[],google,1593611514550947,UA000000106512776
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",careers,null,1593618562543868,"{""city"":""Rockville"",""state"":""MD""}",[],facebook,1593618562543868,UA000000106550383
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",press,1593609276538238,1593610304335144,"{""city"":""Wyoming"",""state"":""MI""}",[],instagram,1593608999925361,UA000000106501601
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",warranty,1593617061796403,1593617616662855,"{""city"":""Roxboro"",""state"":""NC""}",[],google,1593616844647161,UA000000106540609
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",cc_info,1593809867473457,1593809961957359,"{""city"":""St. Charles"",""state"":""MO""}","[{""coupon"":""NEWBED10"",""item_id"":""P_FOAM_S"",""item_name"":""Standard Foam Pillow"",""item_revenue_in_usd"":53.1,""price_in_usd"":59,""quantity"":1}]",email,1593612103368425,UA000000106515529
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",careers,null,1593612180653011,"{""city"":""Pascagoula"",""state"":""MS""}",[],youtube,1593612180653011,UA000000106515885
